areaConvoID,speakerList,location,locationname,notes
0,0,0,, this is just a test lol
1,1,1,mschool,omfg you cant do anything
2,1,3,scramble,cool musician mayuko likes
3,1,4,mainst,leoneed mention
4,2,2,kschool,nightcord mention
5,2,3,scramble,
6,2,4,mainst,hiroshi visits a livehouse #yep
7,3,2,kschool,She thinks shes cool 💀
8,3,3,scramble,Not cool yurina
9,3,6,cythe,shes hiding a headphone here lol
10,4,3,scramble,
11,4,4,mainst,cute shirt #aww
12,4,6,cythe,shes returning a headphone here lmao
13,5,1,mschool,Omfg you also can't do anything
14,5,4,mainst,smiles so eagerly. This is what i wanted this entire time. This is whag i spent 6 months killing myself pver javascript for. To torture my koharu
15,5,7,shs,Obligatory existancial crisis
16,6,1,mschool,chiyomi gets out of class
17,6,4,mainst,awesome popup
19,7,2,kschool,Sanae is a tool of the state
20,7,5,park,My silly sporty girl
21,7,2,kschool,
22,8,1,mschool,What does she even do?
23,8,5,park,
24,8,7,shs,Get out of here
25,9,2,kschool,Toshiki isnt allowed to skip lunch
26,9,4,mainst,toshiki gets chased out (sad)
27,9,5,park,rion was right and toshiki was just stubborn
28,10,2,kschool,Kakinuma nepotism
29,10,4,mainst,ami buys things for bonbon
30,10,4,mainst,
31,11,2,kschool,keishiro is alone in the classroom *piano phrase*
32,11,3,scramble,
33,11,3,scramble,What do HE even do?
34,12,2,kschool,rion is struggling
35,12,3,scramble,
36,12,5,park,rion is hard on herself #Sad #thatsoomf
37,13,6,cythe,mikumusings
38,14,7,shs,mikumusings
39,15,8,miralive,mikumusings
40,"1,2",1,mschool,hiroshi trespasses
41,"1,2",2,kschool,mayuko trespasses
42,"1,2",3,scramble,continuation of 1
43,"1,2",3,scramble,Atupid
44,"1,2",4,mainst,LETS GO GAMBLING!!!!!!!!!!!!!
45,"1,2",6,cythe,They should get animal jam gloves and hack thru all the wires adventure style
46,"1,3",3,scramble,
47,"1,3",3,scramble,yurina is popular apparently
48,"1,3",4,mainst,
49,"1,3",4,mainst,
50,"1,3",6,cythe,Mayuko is a little stupid
