areaConvoID,speakerList,location,locationname,notes
0,0,0,, this is just a test lol
1,1,1,mschool,
2,1,3,scramble,
3,1,4,mainst,
4,2,2,kschool,
5,2,3,scramble,
6,2,4,mainst,
7,3,2,kschool,
8,3,3,scramble,
9,3,6,cythe,shes hiding a headphone here lol
10,4,4,mainst,
11,4,4,mainst,
12,4,6,cythe,shes returning a headphone here lmao
13,5,1,mschool,
14,5,4,mainst,
15,5,7,shs,
16,6,1,mschool,
17,6,5,park,
18,6,5,park,
19,7,2,kschool,
20,7,5,park,
21,7,7,shs,
22,8,1,mschool,
23,8,5,park,
24,8,7,shs,
25,9,2,kschool,
26,9,4,mainst,
27,9,5,park,
28,10,2,kschool,
29,10,4,mainst,
30,10,4,mainst,
31,11,2,kschool,
32,11,3,scramble,
33,11,3,scramble,
34,12,2,kschool,
35,12,3,scramble,
36,12,5,park,
37,13,6,cythe,
38,14,7,shs,
39,15,8,nanairo,
40,"1,2",1,mschool,
41,"1,2",2,kschool,
42,"1,2",3,scramble,
43,"1,2",3,scramble,
44,"1,2",4,mainst,
45,"1,2",6,cythe,
46,"1,3",3,scramble,
47,"1,3",3,scramble,
48,"1,3",4,mainst,
49,"1,3",4,mainst,
50,"1,3",6,cythe,
51,"1,4",3,scramble,
52,"1,4",4,mainst,
53,"1,4",4,mainst,
54,"1,4",6,cythe,
55,"1,4",6,cythe,
56,"2,3",2,kschool,
57,"2,3",3,scramble,
58,"2,3",4,mainst,
59,"2,3",4,mainst,
60,"2,3",6,cythe,
61,"2,3",6,cythe,
62,"2,4",2,kschool,
63,"2,4",3,scramble,
64,"2,4",4,mainst,
65,"2,4",4,mainst,
66,"2,4",6,cythe,
67,"3,4",2,kschool,
68,"3,4",3,scramble,
69,"3,4",4,mainst,
70,"3,4",4,mainst,
71,"3,4",6,cythe,
72,"3,4",6,cythe,
73,"1,13",6,cythe,
74,"1,13",6,cythe,
75,"2,13",6,cythe,
76,"2,13",6,cythe,
77,"3,13",6,cythe,
78,"3,13",6,cythe,
79,"4,13",6,cythe,
80,"4,13",6,cythe,
81,"5,6",1,mschool,I am putting a love bullet reference here bc its funny
82,"5,6",1,mschool,
83,"5,6",3,scramble,
84,"5,6",4,mainst,
85,"5,6",5,park,
86,"5,6",7,shs,
87,"5,7",1,mschool,
88,"5,7",3,scramble,
89,"5,7",3,scramble,
90,"5,7",4,mainst,
91,"5,7",5,park,
92,"5,7",7,shs,
93,"5,8",1,mschool,
94,"5,8",1,mschool,
95,"5,8",3,scramble,
96,"5,8",4,mainst,
97,"5,8",5,park,
98,"5,8",5,park,
99,"5,8",7,shs,
100,"6,7",1,mschool,
101,"6,7",2,kschool,
102,"6,7",3,scramble,
103,"6,7",3,scramble,
104,"6,7",4,mainst,
105,"6,7",7,shs,
106,"6,7",7,shs,
107,"6,8",1,mschool,
108,"6,8",1,mschool,
109,"6,8",4,mainst,
110,"6,8",5,park,
111,"6,8",7,shs,
112,"6,8",7,shs,
113,"7,8",1,mschool,
114,"7,8",3,scramble,
115,"7,8",3,scramble,
116,"7,8",5,park,
117,"7,8",5,park,
118,"7,8",7,shs,
119,"5,14",7,shs,
120,"5,14",7,shs,
121,"6,14",7,shs,
122,"6,14",7,shs,
123,"7,14",7,shs,
124,"7,14",7,shs,
125,"8,14",7,shs,
126,"8,14",7,shs,
127,"9,10",2,kschool,
128,"9,10",2,kschool,
129,"9,10",3,scramble,
130,"9,10",4,mainst,
131,"9,10",5,park,
132,"9,10",8,nanairo,
133,"9,11",2,kschool,
134,"9,11",2,kschool,
135,"9,11",3,scramble,
136,"9,11",4,mainst,
137,"9,11",8,nanairo,
138,"9,11",8,nanairo,
139,"9,12",2,kschool,
140,"9,12",2,kschool,
141,"9,12",4,mainst,
142,"9,12",5,park,
143,"9,12",8,nanairo,
144,"9,12",8,nanairo,
145,"10,11",2,kschool,
146,"10,11",2,kschool,
147,"10,11",3,scramble,
148,"10,11",3,scramble,
149,"10,11",4,mainst,
150,"10,11",8,nanairo,
151,"10,12",2,kschool,
152,"10,12",3,scramble,
153,"10,12",3,scramble,
154,"10,12",4,mainst,
155,"10,12",4,mainst,
156,"10,12",5,park,
157,"10,12",8,nanairo,
158,"11,12",2,kschool,
159,"11,12",2,kschool,
160,"11,12",4,mainst,
161,"11,12",5,park,
162,"11,12",8,nanairo,
163,"11,12",8,nanairo,
164,"9,15",8,nanairo,
165,"9,15",8,nanairo,
166,"10,15",8,nanairo,
167,"10,15",8,nanairo,
168,"11,15",8,nanairo,
169,"11,15",8,nanairo,
170,"12,15",8,nanairo,
171,"12,15",8,nanairo,
172,"1,2,3",3,scramble,
173,"1,2,3",4,mainst,
174,"1,2,3",4,mainst,
175,"1,2,3",6,cythe,
176,"1,2,4",3,scramble,
177,"1,2,4",4,mainst,
178,"1,2,4",4,mainst,
179,"1,2,4",6,cythe,
180,"1,3,4",3,scramble,
181,"1,3,4",4,mainst,
182,"1,3,4",4,mainst,
183,"1,3,4",6,cythe,
184,"1,3,4",6,cythe,redlining is headlining🔥🔥🔥🔥🔥🔥🔥🔥🔥
185,"2,3,4",2,kschool,My poor yuko She is left out.
186,"2,3,4",3,scramble,
187,"2,3,4",4,mainst,
188,"2,3,4",6,cythe,
189,"5,6,7",1,mschool,
190,"5,6,7",3,scramble,
191,"5,6,7",5,park,
192,"5,6,7",7,shs,
193,"5,6,8",1,mschool,
194,"5,6,8",1,mschool,
195,"5,6,8",4,mainst,
196,"5,6,8",4,mainst,
197,"5,6,8",7,shs,
198,"5,7,8",1,mschool,
199,"5,7,8",1,mschool,
200,"5,7,8",3,scramble,
201,"5,7,8",4,mainst,
202,"5,7,8",7,shs,
203,"6,7,8",1,mschool,
204,"6,7,8",3,scramble,
205,"6,7,8",4,mainst,
206,"6,7,8",7,shs,
207,"9,10,11",2,kschool,
208,"9,10,11",2,kschool,
209,"9,10,11",4,mainst,
210,"9,10,11",8,nanairo,
211,"9,10,12",2,kschool,
212,"9,10,12",2,kschool,
213,"9,10,12",3,scramble,
214,"9,10,12",8,nanairo,
215,"9,10,12",8,nanairo,
216,"9,11,12",2,kschool,
217,"9,11,12",4,mainst,
218,"9,11,12",4,mainst,
219,"9,11,12",8,nanairo,
220,"9,11,12",8,nanairo,
221,"10,11,12",2,kschool,
222,"10,11,12",3,scramble,
223,"10,11,12",8,nanairo,
224,"1,2,3,4",3,scramble,
225,"1,2,3,4",4,mainst,
226,"1,2,3,4",4,mainst,
227,"1,2,3,4",6,cythe,
228,"1,2,3,4",6,cythe,
229,"5,6,7,8",1,mschool,
230,"5,6,7,8",3,scramble,
231,"5,6,7,8",4,mainst,
232,"5,6,7,8",5,park,
233,"5,6,7,8",7,shs,
234,"5,6,7,8",7,shs,
235,"9,10,11,12",2,kschool,
236,"9,10,11,12",3,scramble,
237,"9,10,11,12",4,mainst,
238,"9,10,11,12",8,nanairo,
239,"9,10,11,12",8,nanairo,
